IGN Network;Data;HR inic. e Final;Responsavel;KM Total; Material utilizado ; Horas totais ; Custo de Material ; KM ; Pedagio ; Primeira Hora ; Hora Adicional ; Valor  ; Total de horas ; SID 
Vivo DC Recife - PE PID14118;08/01/2026;10:00 - 10:30;Kaio;;;01:00;;;; R$ 180,00 ;; R$180,00 ; R$180,00 ;TBR.5581.N002
Vivo DC Recife - PE PID14118;14/01/2026;09:30 - 13:00;Kaio;;;01:00;;;; R$ 180,00 ; R$300,00 ; R$480,00 ; R$480,00 ;TBR.5581.N002
Embratel Goiania - GO PID15633;15/01/2026;10:00 - 11:30;Kaio;;;02:30;;;; R$ 180,00 ; R$60,00 ; R$240,00 ; R$240,00 ;EMB.5562.N001
ELEA BSB1 Brasilia - DF Tech Activity19029;07/01/2026;09:30 - 13:30;Luciana;;;01:00;;;; R$ 180,00 ; R$360,00 ; R$540,00 ; R$540,00 ;19029
ELEA BSB1 Brasilia - DF Tech Activity19044;12/01/2026;10:30 - 12:30;Luciana;;Cabo de Energia R$35,00;---;35;;; R$180,00 ; R$120,00 ; R$335,00 ; R$300,00 ;19044
G8 Telecom Goiania - GO Tech Activity19067;15/01/2026;13:00 - 15:00;Luciana;;Envio de equipamento QN873781358BR R$452,80;---;452,8;;; R$180,00 ; R$120,00 ; R$752,80 ; R$300,00 ;19067
CNF2 Belo Horizonte - MG Tech Activity19106;26/01/2026;10:00 - 11:00;Luciana;;;---;;;; R$180,00 ;; R$180,00 ; R$180,00 ;19106
CNF2 Belo Horizonte - MG Tech Activity 19119;29/01/2026;02:30 - 05:30;Luciana;;;---;;;; R$240,00 ; R$280,00 ; R$520,00 ; R$520,00 ;19119
ZF Friedrichshafen Engenheiro Coelho - SP TT294023;13/01/2026;10:00 - 13:00;Marlon;120;;---;;180;54; R$180,00 ; R$240,00 ; R$654,00 ; R$420,00 ;VZB.5519.D002
Bayer Cachoeira Dourada - MG TT294725;20/01/2026;10:30 - 11:30;Marlon;130;Travessia de Balsa R$180;---;180;195;; R$180,00 ;; R$555,00 ; R$180,00 ;VZB.5534.A008
Itau Caçapava - SP PID13207;22/01/2026;10:00 - 11:00;Matheus;;Envio de equipamento QN791796413BR R$68,20;---;68,2;;; R$180,00 ;; R$248,20 ; R$180,00 ;EMB.5512.A025
Itau Palmopolis - MG PID15632;06/01/2026;14:00 - 16:00;Mauricio;;;---;;;; R$180,00 ; R$120,00 ; R$300,00 ; R$300,00 ;EMB.5533.A014
CTG Brasil Tres Lagoas - MS PID15821;08/01/2026;11:00 - 13:30;Mauricio;;;---;;;; R$180,00 ; R$180,00 ; R$360,00 ; R$360,00 ;TBR.5567.A039
CEF Caconde - SP PID15794;09/01/2026;10:00 - 11:00;Mauricio;38;;---;;57;; R$180,00 ;; R$237,00 ; R$180,00 ;TBR.5519.A013
Cruzilia - MG PID15595;14/01/2026;10:00 - 11:00;Mauricio;;;---;;;; R$180,00 ;; R$180,00 ; R$180,00 ;EMB.5535.A018
Springer Extrema - MG PID15670;14/01/2026;15:30 - 17:00;Mauricio;84;1 Patchcord ;---;30;126;; R$180,00 ;60; R$396,00 ; R$240,00 ;EMB.5535.A019
Inea Nova Iguaçu - RJ PID15855;15/01/2026;11:30 - 12:30;Mauricio;120;;---;;180;; R$180,00 ;; R$360,00 ; R$180,00 ;EMB.5517.A013
Bayer Luis Eduardo Magalhaes - BA PID15781;15/01/2026;14:00 - 15:30;Mauricio;;;---;;;; R$180,00 ;60; R$240,00 ; R$240,00 ;VZB.5577.D001
CEF Ituverava - SP PID15791;20/01/2026;10:00 - 12:00;Mauricio;70;;---;;105;; R$180,00 ;120; R$405,00 ; R$300,00 ;TBR.5516.A065
CEF Guara - SP PID15797;21/01/2026;10:00 - 12:00;Mauricio;87;;---;;130,5;45; R$180,00 ;120; R$475,50 ; R$300,00 ;TBR.5516.A069
CEF Morro Agudo - SP PID15793;22/01/2026;13:30 - 14:30;Mauricio;158;;---;;237;42; R$180,00 ;; R$459,00 ; R$180,00 ;TBR.5516.A067
Hemmer Blumenau - SC TT293931;06/01/2026;14:00 - 15:00;Patrick;;;---;;;; R$180,00 ;; R$180,00 ; R$180,00 ;VTL.5547.A001
Zoetis Campinas - SP TT296419;29/01/2026;10:30 - 11:30;Patrick;36;;---;;54;; R$180,00 ;; R$234,00 ; R$180,00 ;VZB.5519.A010
Torrent Pharma - São Paulo - SP TT294670;17/01/2026;09:00 - 13:00;Rene;;;---;;;; R$210,00 ;420; R$630,00 ; R$630,00 ;ART.5511.A001
Youtility Jacarei - SP PID15808;29/01/2026;14:00 - 16:00;Rene;60;;---;;90;; R$180,00 ;120; R$390,00 ; R$300,00 ;EMB.5512.A026
Pepsico Petrolina - PE PID15217;28/01/2026;10:00 - 11:00;Rodolfo;;Envio de equipamento QN760334464BR R$138,20;---;138,2;;; R$180,00 ;; R$318,20 ; R$180,00 ;VZB.5587.A001
